sid,start,end,type,value,lat,lng
m1,2020-4-6 01:09:15,2020-4-6 01:19:15,p2,1132.608403,0.18792,-119.96665
m1,2020-4-6 01:54:15,2020-4-6 02:04:15,p2,923.9648901,0.18792,-119.96665
m1,2020-4-6 23:54:55,2020-4-7 00:04:55,p2,931.1110849,0.187897,-119.966559
m1,2020-4-7 02:09:30,2020-4-7 02:19:30,p2,430.9431253,0.187897,-119.966559
m2,2020-4-6 09:23:15,2020-4-6 09:33:15,p2,929.3289751,0.125398,-119.883464
m2,2020-4-6 21:12:50,2020-4-6 21:22:50,p2,1673.3669,0.173888,-119.967195
m2,2020-4-6 22:08:10,2020-4-6 22:18:10,p2,770.9287667,0.173888,-119.967195
m2,2020-4-7 04:55:35,2020-4-7 05:05:35,p2,1003.361779,0.173888,-119.967195
m2,2020-4-7 15:01:35,2020-4-7 15:11:35,p2,934.816986,0.125398,-119.883466
m2,2020-4-7 23:15:20,2020-4-7 23:25:20,p2,1005.878474,0.173895,-119.967194
m2,2020-4-8 11:10:45,2020-4-8 11:20:45,p2,692.2801316,0.12354,-119.96897
m2,2020-4-8 15:01:10,2020-4-8 15:11:10,p2,503.7518153,0.12354,-119.96897
m2,2020-4-8 20:32:15,2020-4-8 20:42:15,p2,582.8509793,0.12354,-119.96897
m2,2020-4-8 23:05:25,2020-4-8 23:15:25,p2,555.3727231,0.173902,-119.967196
m2,2020-4-8 23:28:15,2020-4-8 23:38:15,p2,886.7862357,0.173902,-119.967196
m2,2020-4-9 04:43:35,2020-4-9 04:53:35,p2,1160.822906,0.173902,-119.967196
m2,2020-4-9 07:10:00,2020-4-9 07:20:00,p2,1197.767634,0.173902,-119.967196
m2,2020-4-9 08:29:35,2020-4-9 08:39:35,p2,424.9730319,0.173902,-119.967196
m2,2020-4-9 21:02:25,2020-4-9 21:12:25,p2,443.1147487,0.12528,-119.910538
m2,2020-4-9 22:02:15,2020-4-9 22:12:15,p2,705.0474053,0.173946,-119.967092
m2,2020-4-10 05:34:25,2020-4-10 05:44:25,p2,477.0055605,0.173946,-119.967092
m2,2020-4-10 06:25:55,2020-4-10 06:35:55,p2,834.5522392,0.173946,-119.967092
m2,2020-4-10 07:00:00,2020-4-10 07:10:00,p2,620.1747951,0.173946,-119.967092
m2,2020-4-10 08:01:15,2020-4-10 08:11:15,p2,653.5432565,0.1537,-119.978144
m2,2020-4-10 20:13:50,2020-4-10 20:23:50,p2,632.1157426,0.174064,-119.967096
m2,2020-4-10 20:45:50,2020-4-10 20:55:50,p2,782.3895911,0.174064,-119.967096
m2,2020-4-10 21:03:55,2020-4-10 21:13:55,p2,593.8122265,0.174064,-119.967096
m3,2020-4-6 01:29:05,2020-4-6 01:39:05,p2,1033.050086,0.19256,-119.90778
m3,2020-4-6 08:05:45,2020-4-6 08:15:45,p2,324,0.173168,-119.90444
m3,2020-4-6 16:09:35,2020-4-6 16:19:35,p2,715.4174068,0.173168,-119.90444
m3,2020-4-6 19:05:45,2020-4-6 19:15:45,p2,433.9721901,0.192592,-119.907667
m3,2020-4-7 15:39:40,2020-4-7 15:49:40,p2,1136.442412,0.173122,-119.904372
m3,2020-4-7 17:50:05,2020-4-7 18:00:05,p2,1122.070536,0.192703,-119.907727
m3,2020-4-8 03:04:00,2020-4-8 03:14:00,p2,714.4517025,0.192703,-119.907727
m3,2020-4-8 11:42:05,2020-4-8 11:52:05,p2,362.39995,0.173165,-119.904388
m3,2020-4-8 14:25:00,2020-4-8 14:35:00,p2,854.9541537,0.173165,-119.904388
m3,2020-4-8 15:48:25,2020-4-8 15:58:25,p2,953.527279,0.173165,-119.904388
m3,2020-4-8 16:07:20,2020-4-8 16:17:20,p2,598.6163596,0.192607,-119.90764
m3,2020-4-8 16:30:45,2020-4-8 16:40:45,p2,2244.82566,0.192607,-119.90764
m3,2020-4-8 16:30:50,2020-4-8 16:40:50,p2,1372.470578,0.192607,-119.90764
m3,2020-4-8 16:30:55,2020-4-8 16:40:55,p2,1591.495323,0.192607,-119.90764
m3,2020-4-8 16:31:00,2020-4-8 16:41:00,p2,545.5387525,0.192607,-119.90764
m3,2020-4-8 16:56:45,2020-4-8 17:06:45,p2,337.7194683,0.192607,-119.90764
m3,2020-4-8 19:22:10,2020-4-8 19:32:10,p2,393.8585161,0.192607,-119.90764
m3,2020-4-8 23:47:55,2020-4-8 23:57:55,p2,850.7573442,0.192607,-119.90764
m3,2020-4-9 00:42:45,2020-4-9 00:52:45,p2,710.3592134,0.192607,-119.90764
m3,2020-4-9 01:57:25,2020-4-9 02:07:25,p2,732.5295391,0.192607,-119.90764
m3,2020-4-9 02:53:45,2020-4-9 03:03:45,p2,925.9184128,0.192607,-119.90764
m3,2020-4-9 11:46:00,2020-4-9 11:56:00,p2,1042.983653,0.192509,-119.907908
m3,2020-4-9 11:57:10,2020-4-9 12:07:10,p2,395.3143565,0.192509,-119.907908
m3,2020-4-9 14:24:10,2020-4-9 14:34:10,p2,731.3207562,0.192509,-119.907908
m3,2020-4-9 17:18:50,2020-4-9 17:28:50,p2,515.6672761,0.192509,-119.907908
m3,2020-4-9 19:50:30,2020-4-9 20:00:30,p2,601.3890003,0.192509,-119.907908
m3,2020-4-9 20:44:10,2020-4-9 20:54:10,p2,580.4059083,0.192509,-119.907908
m3,2020-4-9 22:34:40,2020-4-9 22:44:40,p2,664.4199503,0.192509,-119.907908
m3,2020-4-10 00:17:20,2020-4-10 00:27:20,p2,504.219771,0.192509,-119.907908
m3,2020-4-10 02:27:55,2020-4-10 02:37:55,p2,953.2060034,0.192509,-119.907908
m3,2020-4-10 02:41:10,2020-4-10 02:51:10,p2,628.4625654,0.192509,-119.907908
m3,2020-4-10 04:09:25,2020-4-10 04:19:25,p2,406.1771109,0.192509,-119.907908
m3,2020-4-10 06:35:35,2020-4-10 06:45:35,p2,584.6381082,0.192509,-119.907908
m3,2020-4-10 07:18:05,2020-4-10 07:28:05,p2,746.9434563,0.192509,-119.907908
m3,2020-4-10 07:25:25,2020-4-10 07:35:25,p2,1193.169542,0.192509,-119.907908
m3,2020-4-10 10:06:55,2020-4-10 10:16:55,p2,606.1692136,0.192507,-119.907918
m3,2020-4-10 10:27:15,2020-4-10 10:37:15,p2,741.823216,0.192507,-119.907918
m3,2020-4-10 10:55:05,2020-4-10 11:05:05,p2,473.1823467,0.192507,-119.907918
m3,2020-4-10 12:10:00,2020-4-10 12:20:00,p2,494.8415029,0.192507,-119.907918
m3,2020-4-10 13:00:55,2020-4-10 13:10:55,p2,461.5790895,0.192507,-119.907918
m3,2020-4-10 13:04:00,2020-4-10 13:14:00,p2,532.8097064,0.192507,-119.907918
m3,2020-4-10 13:44:25,2020-4-10 13:54:25,p2,350.1935833,0.192507,-119.907918
m3,2020-4-10 14:49:15,2020-4-10 14:59:15,p2,604.3714272,0.192507,-119.907918
m3,2020-4-10 18:30:40,2020-4-10 18:40:40,p2,429.6563139,0.192507,-119.907918
m3,2020-4-10 18:35:35,2020-4-10 18:45:35,p2,657.5506591,0.192507,-119.907918
m3,2020-4-10 20:54:25,2020-4-10 21:04:25,p2,503.2058803,0.192507,-119.907918
m3,2020-4-10 21:23:05,2020-4-10 21:33:05,p2,365.9279848,0.192507,-119.907918
m3,2020-4-10 21:23:50,2020-4-10 21:33:50,p2,905.9092782,0.192507,-119.907918
m3,2020-4-10 21:37:30,2020-4-10 21:47:30,p2,609.9482054,0.192507,-119.907918
m4,2020-4-6 20:04:15,2020-4-6 20:14:15,p2,901.3776911,0.11194,-119.871957
m4,2020-4-7 13:59:10,2020-4-7 14:09:10,p2,636.6072029,0.11194,-119.871953
m4,2020-4-7 17:53:05,2020-4-7 18:03:05,p2,1163.560513,0.11194,-119.871953
m4,2020-4-8 05:10:40,2020-4-8 05:20:40,p2,619.5613279,0.18734,-119.931776
m4,2020-4-8 09:02:15,2020-4-8 09:12:15,p2,994.1199537,0.11194,-119.871959
m4,2020-4-8 11:24:10,2020-4-8 11:34:10,p2,899.9857901,0.11194,-119.871959
m4,2020-4-8 12:34:20,2020-4-8 12:44:20,p2,579.3415611,0.11194,-119.871959
m4,2020-4-8 12:56:45,2020-4-8 13:06:45,p2,704.2334737,0.11194,-119.871959
m4,2020-4-8 13:53:15,2020-4-8 14:03:15,p2,1118.05168,0.11194,-119.871959
m4,2020-4-8 19:41:45,2020-4-8 19:51:45,p2,988.7805917,0.11194,-119.871959
m4,2020-4-8 21:34:20,2020-4-8 21:44:20,p2,607.6716504,0.11194,-119.871959
m4,2020-4-8 23:27:45,2020-4-8 23:37:45,p2,912.0646863,0.11194,-119.871959
m4,2020-4-8 23:40:35,2020-4-8 23:50:35,p2,711.2984823,0.11194,-119.871959
m4,2020-4-9 06:23:00,2020-4-9 06:33:00,p2,968.819667,0.11194,-119.871959
m4,2020-4-9 09:44:30,2020-4-9 09:54:30,p2,619.624501,0.11194,-119.871711
m4,2020-4-9 12:26:30,2020-4-9 12:36:30,p2,943.1262888,0.11194,-119.871711
m4,2020-4-9 14:19:20,2020-4-9 14:29:20,p2,1064.178065,0.11194,-119.871711
m4,2020-4-9 14:22:40,2020-4-9 14:32:40,p2,808.8296888,0.11194,-119.871711
m4,2020-4-9 19:07:40,2020-4-9 19:17:40,p2,397.5294321,0.11194,-119.871711
m4,2020-4-9 19:37:05,2020-4-9 19:47:05,p2,696.5256817,0.11194,-119.871711
m4,2020-4-9 20:09:35,2020-4-9 20:19:35,p2,389.0501434,0.11194,-119.871711
m4,2020-4-9 20:22:35,2020-4-9 20:32:35,p2,747.3682949,0.11194,-119.871711
m4,2020-4-9 21:04:05,2020-4-9 21:14:05,p2,338.7747961,0.11194,-119.871711
m4,2020-4-9 22:09:05,2020-4-9 22:19:05,p2,392.5216735,0.11194,-119.871711
m4,2020-4-9 22:58:55,2020-4-9 23:08:55,p2,351.0245261,0.11194,-119.871711
m4,2020-4-10 00:04:05,2020-4-10 00:14:05,p2,634.1984229,0.11194,-119.871711
m4,2020-4-10 00:21:55,2020-4-10 00:31:55,p2,504.7584049,0.11194,-119.871711
m4,2020-4-10 01:33:45,2020-4-10 01:43:45,p2,413.7449315,0.11194,-119.871711
m4,2020-4-10 02:57:10,2020-4-10 03:07:10,p2,525.7923255,0.11194,-119.871711
m4,2020-4-10 03:55:55,2020-4-10 04:05:55,p2,825.0237559,0.11194,-119.871711
m4,2020-4-10 04:08:25,2020-4-10 04:18:25,p2,634.3615079,0.11194,-119.871711
m4,2020-4-10 04:54:20,2020-4-10 05:04:20,p2,239.1240629,0.11194,-119.871711
